"Fecha","Último","Apertura","Máximo","Mínimo","Vol.","% var."
"17.12.2019","9.632,00","9.631,00","9.650,00","9.606,00","-","-0,50%"
"16.12.2019","9.680,60","9.607,90","9.692,40","9.599,70","163,33M","1,22%"
"13.12.2019","9.563,70","9.598,20","9.650,90","9.554,10","261,41M","1,01%"
"12.12.2019","9.468,50","9.416,30","9.505,60","9.370,00","213,48M","0,81%"
"11.12.2019","9.392,50","9.315,40","9.421,50","9.300,30","145,84M","0,77%"
"10.12.2019","9.321,10","9.355,60","9.355,70","9.246,10","136,83M","-0,36%"
"09.12.2019","9.354,60","9.378,20","9.403,50","9.354,60","106,94M","-0,30%"
"06.12.2019","9.382,70","9.267,30","9.395,40","9.247,70","125,32M","1,51%"
"05.12.2019","9.243,40","9.284,30","9.325,80","9.243,40","120,86M","-0,30%"
"04.12.2019","9.270,80","9.146,20","9.277,60","9.144,80","152,24M","1,48%"
"03.12.2019","9.135,70","9.176,80","9.209,80","9.110,10","162,64M","-0,22%"
"02.12.2019","9.156,30","9.367,20","9.390,90","9.146,60","200,67M","-2,09%"
"29.11.2019","9.352,00","9.334,50","9.404,70","9.312,50","140,84M","-0,07%"
"28.11.2019","9.359,00","9.353,60","9.373,10","9.343,80","107,16M","-0,04%"
"27.11.2019","9.362,70","9.353,50","9.388,70","9.333,40","135,05M","0,41%"
"26.11.2019","9.324,80","9.323,60","9.329,80","9.288,20","214,69M","0,05%"
"25.11.2019","9.319,90","9.300,00","9.340,30","9.292,30","128,38M","0,70%"
"22.11.2019","9.254,70","9.238,50","9.295,50","9.229,70","173,88M","0,44%"
"21.11.2019","9.214,00","9.175,10","9.223,10","9.152,10","142,00M","-0,12%"
"20.11.2019","9.225,40","9.223,70","9.240,40","9.165,40","139,90M","-0,37%"
"19.11.2019","9.259,20","9.288,00","9.327,60","9.234,40","121,80M","0,01%"
"18.11.2019","9.258,00","9.265,10","9.293,10","9.213,00","135,27M","-0,04%"
"15.11.2019","9.261,40","9.222,10","9.273,30","9.186,90","161,26M","0,96%"
"14.11.2019","9.173,30","9.203,10","9.216,90","9.170,30","154,13M","-0,23%"
"13.11.2019","9.194,50","9.270,20","9.270,20","9.132,80","246,05M","-1,21%"
"12.11.2019","9.306,70","9.427,80","9.436,80","9.306,70","182,15M","-0,87%"
"11.11.2019","9.388,50","9.370,30","9.400,40","9.334,40","153,71M","-0,06%"
"08.11.2019","9.393,70","9.418,50","9.436,10","9.369,70","182,55M","-0,57%"
"07.11.2019","9.447,30","9.435,40","9.482,50","9.409,60","190,11M","0,52%"
"06.11.2019","9.398,40","9.407,30","9.443,90","9.360,90","173,97M","-0,10%"
"05.11.2019","9.407,90","9.424,20","9.432,30","9.373,80","218,12M","-0,09%"
"04.11.2019","9.416,40","9.376,50","9.439,00","9.354,30","180,10M","0,95%"
"01.11.2019","9.328,00","9.293,10","9.343,10","9.252,80","160,72M","0,76%"
"31.10.2019","9.257,50","9.296,30","9.305,30","9.208,90","227,12M","-0,29%"
"30.10.2019","9.284,50","9.384,50","9.386,60","9.219,70","192,87M","-1,23%"
"29.10.2019","9.400,10","9.440,70","9.445,50","9.362,20","155,53M","-0,35%"
"28.10.2019","9.433,00","9.432,30","9.455,60","9.394,60","123,72M","0,03%"
"25.10.2019","9.430,20","9.409,90","9.433,30","9.381,10","124,88M","0,41%"
"24.10.2019","9.391,80","9.413,50","9.448,00","9.378,60","157,23M","0,07%"
"23.10.2019","9.385,00","9.339,30","9.392,30","9.332,40","146,31M","0,05%"
"22.10.2019","9.380,20","9.393,30","9.417,40","9.344,60","139,50M","-0,24%"
"21.10.2019","9.402,30","9.350,30","9.424,30","9.342,10","167,99M","0,78%"
"18.10.2019","9.329,80","9.310,30","9.362,20","9.307,60","150,24M","-0,11%"
"17.10.2019","9.340,00","9.360,90","9.494,50","9.340,00","195,29M","-0,50%"
"16.10.2019","9.386,70","9.346,50","9.398,60","9.288,20","205,49M","0,33%"
"15.10.2019","9.356,10","9.292,00","9.370,30","9.278,30","191,06M","1,19%"
"14.10.2019","9.246,50","9.229,20","9.247,60","9.195,20","125,13M","-0,29%"
"11.10.2019","9.273,80","9.112,90","9.273,80","9.104,80","248,41M","1,86%"
"10.10.2019","9.104,40","8.997,40","9.112,20","8.970,30","156,10M","1,25%"
"09.10.2019","8.991,90","8.952,70","9.035,60","8.934,20","103,64M","0,58%"
"08.10.2019","8.940,10","9.066,50","9.071,50","8.900,80","140,37M","-1,15%"
"07.10.2019","9.044,10","8.954,70","9.046,30","8.930,40","131,08M","0,92%"
"04.10.2019","8.961,80","8.944,20","8.961,80","8.858,60","148,75M","0,67%"
"03.10.2019","8.902,20","8.935,80","8.971,40","8.850,60","152,59M","-0,11%"
"02.10.2019","8.912,20","9.150,10","9.157,10","8.912,20","193,95M","-2,77%"
"01.10.2019","9.165,90","9.277,00","9.298,80","9.165,10","150,85M","-0,85%"
"30.09.2019","9.244,60","9.194,80","9.257,30","9.189,60","177,88M","0,66%"
"27.09.2019","9.184,10","9.149,70","9.210,50","9.131,00","127,03M","0,60%"
"26.09.2019","9.129,70","9.064,60","9.143,00","9.061,40","132,27M","0,49%"
"25.09.2019","9.085,30","9.087,20","9.119,20","9.000,90","148,05M","-0,36%"
"24.09.2019","9.118,20","9.116,10","9.154,20","9.103,80","139,48M","0,27%"
"23.09.2019","9.093,60","9.154,90","9.168,30","9.055,90","161,36M","-0,93%"
"20.09.2019","9.179,00","9.137,00","9.210,90","9.132,20","405,54M","0,47%"
"19.09.2019","9.136,00","9.043,10","9.138,50","9.027,80","168,88M","1,15%"
"18.09.2019","9.031,70","9.016,50","9.049,70","8.963,80","182,24M","0,31%"
"17.09.2019","9.004,20","9.050,60","9.052,10","8.975,80","221,43M","-0,53%"
"16.09.2019","9.052,00","9.099,90","9.101,20","9.049,00","174,34M","-0,94%"
"13.09.2019","9.137,90","9.099,80","9.153,50","9.084,30","226,20M","0,61%"
"12.09.2019","9.082,30","9.078,10","9.112,90","8.994,30","231,32M","0,25%"
"11.09.2019","9.059,50","9.109,30","9.124,00","9.029,40","212,02M","-0,21%"
"10.09.2019","9.078,20","9.007,40","9.088,10","8.947,70","265,63M","0,75%"
"09.09.2019","9.010,60","8.997,70","9.026,30","8.987,60","179,01M","0,23%"
"06.09.2019","8.990,10","8.992,80","9.025,90","8.958,60","168,79M","-0,03%"
"05.09.2019","8.992,70","8.913,00","8.995,40","8.908,10","215,61M","1,54%"
"04.09.2019","8.856,60","8.872,30","8.904,50","8.856,60","169,52M","0,54%"
