es,en,scores,qualify,Espanish_length,English_length,zero,uno,dos,zero,uno,dos
Él debería ser el presidente de toda Latinoamerica,He should be the president of all Latin America,0.0,neutral,50,47,0.5027219197866905,0.12,0.10869565217391304,0.5027219197866905,0.12,0.10869565217391304
Un hombre que si sabe para que es el puesto de Presidente.👏,A man who does know what the position of President is for.👏,0.0,neutral,59,59,0.5027219197866905,0.1425,0.13768115942028986,0.5027219197866905,0.1425,0.13768115942028986
Y petrosky llorando porque los de la primera línea quieren suicidarse..,And Petrosky crying because those on the front line want to commit suicide..,-0.1531,negative,71,76,0.4176758137984669,0.1725,0.178743961352657,0.4176758137984669,0.1725,0.178743961352657
Petro te hablan … aprende muchacho,Petro they talk to you... learn boy,0.0,neutral,34,35,0.5027219197866905,0.08,0.07971014492753624,0.5027219197866905,0.08,0.07971014492753624
Al menos allá intentan hacer algo para mejorar las cosas,At least there they try to do something to improve things,0.4404,positive,56,57,0.7473614042884125,0.135,0.13285024154589373,0.7473614042884125,0.135,0.13285024154589373
"Ojalá no solo se quede en el castigo, sino que también desde ahí se dé espacio para segundas oportunidades y la resocialización.","Hopefully he not only stays in punishment, but also from there space is given for second chances and re-socialization.",0.2382,positive,128,118,0.6350405510498834,0.315,0.2801932367149758,0.6350405510498834,0.315,0.2801932367149758
"No sabe lo que hace, apréndale al nuestro! serian 40 mil gestores de paz 😉","He doesn't know what he's doing, learn ours! there would be 40 thousand peace managers 😉",0.5848,positive,74,88,0.8275747139206755,0.18,0.20772946859903382,0.8275747139206755,0.18,0.20772946859903382
Acá los sacan de la cárcel.. Y le dan subsidio...,Here they get them out of jail.. And they give them a subsidy...,0.0,neutral,49,64,0.5027219197866905,0.1175,0.1497584541062802,0.5027219197866905,0.1175,0.1497584541062802
"En Colombia es igual pero no los meten a la cárcel sino que les dan curules en el Gobierno, subsidios y los convierten en gestores de paz. Más lindos.","In Colombia it's the same, but they don't put them in jail, they give them seats in the government, subsidies, and turn them into peace managers. prettier.",0.872,positive,150,155,0.9871125430507722,0.37,0.3695652173913043,0.9871125430507722,0.37,0.3695652173913043
Digno de toda mi admiración 👏 así necesitamos uno aquí!,Worthy of all my admiration 👏 so we need one here!,0.7712,positive,55,50,0.9311187645817133,0.1325,0.11594202898550725,0.9311187645817133,0.1325,0.11594202898550725
😍😍 ! Y aquí llamándolos voceros de paz y pagándoles.,😍😍! And here calling them spokesmen for peace and paying them.,0.5848,positive,52,62,0.8275747139206755,0.125,0.14492753623188406,0.8275747139206755,0.125,0.14492753623188406
Mientras en Colombia les dan $1 millón de pesos y les perdonan todo,While in Colombia they give them $1 million pesos and forgive them everything,0.2732,positive,67,77,0.654482835240529,0.1625,0.18115942028985507,0.654482835240529,0.1625,0.18115942028985507
Se podrán decir muchas cosas pero el pueblo salvadoreño tiene seguridad,"Many things can be said, but the Salvadoran people have security",0.4767,positive,71,64,0.7675258304632819,0.1725,0.1497584541062802,0.7675258304632819,0.1725,0.1497584541062802
"A este man le critican muchas cosas, pero vaya que es diciendo y haciendo","This man is criticized for many things, but what is he saying and doing",-0.1901,negative,73,71,0.3971225419397846,0.1775,0.16666666666666666,0.3971225419397846,0.1775,0.16666666666666666
Aquí en Colombia los llamamos “Gestores de Paz”. Adicionalmente los sacamos de la cárceles y le pagamos un subsidio por su gran labor como ciudadanos colombianos ☺️,"Here in Colombia we call them “Peace Managers”. Additionally, we get them out of prison and pay them a subsidy for their great work as Colombian citizens ☺️",0.1027,positive,164,156,0.5597711365403845,0.405,0.3719806763285024,0.5597711365403845,0.405,0.3719806763285024
"Acá los pandilleros son gestores de paz, la lógica es en ves de hacer cárceles premiarlos","Here the gang members are peace managers, the logic is instead of making prisons reward them",0.802,positive,89,92,0.9482279746694813,0.2175,0.21739130434782608,0.9482279746694813,0.2175,0.21739130434782608
