es,en,scores,qualify,Espanish_length,English_length,zero,uno,dos
Un hombre que si sabe para que es el puesto de Presidente.👏,A man who does know what the position of President is for.👏,0.0,neutral,59,59,0.5067299262544479,0.06373626373626375,0.06720741599073002
Él debería ser el presidente de toda Latinoamerica,He should be the president of all Latin America,0.0,neutral,50,47,0.5067299262544479,0.05384615384615384,0.05330243337195829
Y petrosky llorando porque los de la primera línea quieren suicidarse..,And Petrosky crying because those on the front line want to commit suicide..,-0.1531,negative,71,76,0.42777577226548397,0.07692307692307693,0.08690614136732329
Petro te hablan … aprende muchacho,Petro they talk to you... learn boy,0.0,neutral,34,35,0.5067299262544479,0.03626373626373626,0.03939745075318656
"No sabe lo que hace, apréndale al nuestro! serian 40 mil gestores de paz 😉","He doesn't know what he's doing, learn ours! there would be 40 thousand peace managers 😉",0.5848,positive,74,88,0.8083131349595172,0.08021978021978023,0.10081112398609501
Al menos allá intentan hacer algo para mejorar las cosas,At least there they try to do something to improve things,0.4404,positive,56,57,0.7338455984735186,0.06043956043956044,0.06488991888760139
Acá los sacan de la cárcel.. Y le dan subsidio...,Here they get them out of jail.. And they give them a subsidy...,0.0,neutral,49,64,0.5067299262544479,0.05274725274725275,0.07300115874855156
Mientras en Colombia les dan $1 millón de pesos y les perdonan todo,While in Colombia they give them $1 million pesos and forgive them everything,0.2732,positive,67,77,0.6476200299107833,0.07252747252747253,0.0880648899188876
En Colombia se necesita urgente 🔥🔥🔥🔥,In Colombia it is urgently needed 🔥🔥🔥🔥,0.0,neutral,36,38,0.5067299262544479,0.03846153846153846,0.04287369640787949
Mientras allá hacen cárceles para castigar. Acá buscan la forma de dejarlos salir para ser gestores de paz,While there they make jails to punish. Here they look for a way to let them out to be peace managers,0.0258,positive,106,100,0.5200350678149657,0.11538461538461539,0.11471610660486674
"En Colombia es igual pero no los meten a la cárcel sino que les dan curules en el Gobierno, subsidios y los convierten en gestores de paz. Más lindos.","In Colombia it's the same, but they don't put them in jail, they give them seats in the government, subsidies, and turn them into peace managers. prettier.",0.872,positive,150,155,0.956423082873498,0.16373626373626374,0.17844727694090382
Aquí en Colombia los llamamos “Gestores de Paz”. Adicionalmente los sacamos de la cárceles y le pagamos un subsidio por su gran labor como ciudadanos colombianos ☺️,"Here in Colombia we call them “Peace Managers”. Additionally, we get them out of prison and pay them a subsidy for their great work as Colombian citizens ☺️",0.1027,positive,164,156,0.5596926409158888,0.17912087912087912,0.17960602549246812
Ese presidente es bueno 👏,That president is good 👏,0.4404,positive,25,24,0.7338455984735186,0.026373626373626374,0.026651216685979143
"Esto es lo que necesitamos en Colombia. Pero contrario a ello, acá se les premia, se les paga y se les defiende.","This is what we need in Colombia. But contrary to this, here they are rewarded, paid and defended.",0.6486,positive,112,98,0.8412149966479294,0.12197802197802199,0.11239860950173812
"Mientras Bukele construye cárceles, Petro busca liberar presos de las cárceles que hayan cometido delitos menores, que son esos mismos que roban celulares, bolsos, motos etc en las calles y que tienen azotados a los colombianos en su día a día. #Diferencias.","While Bukele builds prisons, Petro seeks to release prisoners from prisons who have committed minor crimes, which are the same ones who steal cell phones, bags, motorcycles, etc. in the streets and who have Colombians whipped on a daily basis. #Differences.",-0.6597,negative,258,257,0.16652055077097622,0.2824175824175824,0.2966396292004635
Llenar cárceles no resuelve el problema en el fondo :/ hay que invertir para crear más oportunidades a la gente y así mejorar las situaciones socioeconómicas,Filling prisons does not solve the problem in the end :/ we must invest to create more opportunities for people and thus improve socioeconomic situations,0.7318,positive,157,153,0.8841214996647929,0.17142857142857143,0.1761297798377752
"El comienzo de los campos de concentracion también fue así. Primero hicieron la infraestructura, despues convencieron al pueblo que era para los criminales y al final el dictador ""definía"" quien era criminal y quien no - hasta que mataban a todo el que iba encontra de su ideologia. Que en Colombia pidan algo igual, muestra la falta de conocimiento y pensamiento critico de gran parte de la población.","The beginning of the concentration camps was also like this. First they built the infrastructure, then they convinced the people that it was for criminals and in the end the dictator ""defined"" who was criminal and who was not-until they killed everyone who went against his ideology. That in Colombia they ask for something similar shows the lack of knowledge and critical thinking of a large part of the population.",-0.9001,negative,402,416,0.04254551080398117,0.44065934065934065,0.48088064889918886
"Aquí el petrismo prefiere dejarlos salir y darles subsidios, para que reincidan pero ahora con sueldo fijo 🤦‍♂️","Here petrism prefers to let them out and give them subsidies, so that they reoffend but now with a fixed salary 🤦‍♂️",0.0,neutral,111,116,0.5067299262544479,0.12087912087912088,0.1332560834298957
Lo que necesita colombia,What Colombia needs,0.0,neutral,24,19,0.5067299262544479,0.025274725274725275,0.02085747392815759
"Acá los pandilleros son gestores de paz, la lógica es en ves de hacer cárceles premiarlos","Here the gang members are peace managers, the logic is instead of making prisons reward them",0.802,positive,89,92,0.9203238615852716,0.0967032967032967,0.10544611819235226
"Te amo, Nayib. Enseñales a los de acá y que gracias 🥲","I love you, Najib. Show those here and thank you 🥲",0.7717,positive,53,50,0.904698055799082,0.05714285714285714,0.056778679026651215
Señor venga a ser presidente en Colombia,Lord come be president in Colombia,0.0,neutral,40,34,0.5067299262544479,0.04285714285714285,0.038238702201622246
De donde van a salir 40mil gestores de paz? 🤔,"Where are 40,000 peace managers going to come from? 🤔",0.5423,positive,45,53,0.7863957506059511,0.048351648351648346,0.06025492468134415
"Un Gobierno así es que necesitamos algún día en Colombia, que tenga mano dura con criminales, que les enseñen a trabajar en las cárceles y les den una lección de vida para que salga a re incorporarsen a la sociedad con otra mentalidad. Pero aquí antes quieren sacarlos a seguir delinquiendo en las calles que porque las cárceles estas colápsalas, todo por no invertir en infraestructura.","A government like this is what we need one day in Colombia, to have a tough hand with criminals, to teach them how to work in prisons and give them a life lesson so that they can go out and rejoin society with a different mentality. But here they want to get them out to continue committing crimes in the streets rather than because the prisons are collapsing, all for not investing in infrastructure.",-0.1655,negative,387,401,0.42138105306585527,0.42417582417582417,0.4634994206257242
Porque no tenemos un presidente así 😪,Because we don't have a president like that 😪,-0.2755,negative,37,45,0.36465370532721364,0.03956043956043956,0.05098493626882966
