es,en,scores,qualify
Un hombre que si sabe para que es el puesto de Presidente.👏,A man who does know what the position of President is for.👏,0.0,neutral
Él debería ser el presidente de toda Latinoamerica,He should be the president of all Latin America,0.0,neutral
Y petrosky llorando porque los de la primera línea quieren suicidarse..,And Petrosky crying because those on the front line want to commit suicide..,-0.1531,negative
Petro te hablan … aprende muchacho,Petro they talk to you... learn boy,0.0,neutral
"No sabe lo que hace, apréndale al nuestro! serian 40 mil gestores de paz 😉","He doesn't know what he's doing, learn ours! there would be 40 thousand peace managers 😉",0.5848,positive
Al menos allá intentan hacer algo para mejorar las cosas,At least there they try to do something to improve things,0.4404,positive
Acá los sacan de la cárcel.. Y le dan subsidio...,Here they get them out of jail.. And they give them a subsidy...,0.0,neutral
Mientras en Colombia les dan $1 millón de pesos y les perdonan todo,While in Colombia they give them $1 million pesos and forgive them everything,0.2732,positive
Mientras allá hacen cárceles para castigar. Acá buscan la forma de dejarlos salir para ser gestores de paz,While there they make jails to punish. Here they look for a way to let them out to be peace managers,0.0258,positive
En Colombia se necesita urgente 🔥🔥🔥🔥,In Colombia it is urgently needed 🔥🔥🔥🔥,0.0,neutral
Aquí en Colombia los llamamos “Gestores de Paz”. Adicionalmente los sacamos de la cárceles y le pagamos un subsidio por su gran labor como ciudadanos colombianos ☺️,"Here in Colombia we call them “Peace Managers”. Additionally, we get them out of prison and pay them a subsidy for their great work as Colombian citizens ☺️",0.1027,positive
"En Colombia es igual pero no los meten a la cárcel sino que les dan curules en el Gobierno, subsidios y los convierten en gestores de paz. Más lindos.","In Colombia it's the same, but they don't put them in jail, they give them seats in the government, subsidies, and turn them into peace managers. prettier.",0.872,positive
"Esto es lo que necesitamos en Colombia. Pero contrario a ello, acá se les premia, se les paga y se les defiende.","This is what we need in Colombia. But contrary to this, here they are rewarded, paid and defended.",0.6486,positive
Ese presidente es bueno 👏,That president is good 👏,0.4404,positive
"Mientras Bukele construye cárceles, Petro busca liberar presos de las cárceles que hayan cometido delitos menores, que son esos mismos que roban celulares, bolsos, motos etc en las calles y que tienen azotados a los colombianos en su día a día. #Diferencias.","While Bukele builds prisons, Petro seeks to release prisoners from prisons who have committed minor crimes, which are the same ones who steal cell phones, bags, motorcycles, etc. in the streets and who have Colombians whipped on a daily basis. #Differences.",-0.6597,negative
"El comienzo de los campos de concentracion también fue así. Primero hicieron la infraestructura, despues convencieron al pueblo que era para los criminales y al final el dictador ""definía"" quien era criminal y quien no - hasta que mataban a todo el que iba encontra de su ideologia. Que en Colombia pidan algo igual, muestra la falta de conocimiento y pensamiento critico de gran parte de la población.","The beginning of the concentration camps was also like this. First they built the infrastructure, then they convinced the people that it was for criminals and in the end the dictator ""defined"" who was criminal and who was not-until they killed everyone who went against his ideology. That in Colombia they ask for something similar shows the lack of knowledge and critical thinking of a large part of the population.",-0.9001,negative
"Aquí el petrismo prefiere dejarlos salir y darles subsidios, para que reincidan pero ahora con sueldo fijo 🤦‍♂️","Here petrism prefers to let them out and give them subsidies, so that they reoffend but now with a fixed salary 🤦‍♂️",0.0,neutral
Llenar cárceles no resuelve el problema en el fondo :/ hay que invertir para crear más oportunidades a la gente y así mejorar las situaciones socioeconómicas,Filling prisons does not solve the problem in the background :/ we must invest to create more opportunities for people and thus improve socioeconomic situations,0.7318,positive
"Acá los pandilleros son gestores de paz, la lógica es en ves de hacer cárceles premiarlos","Here the gang members are peace managers, the logic is instead of making prisons reward them",0.802,positive
Lo que necesita colombia,What Colombia needs,0.0,neutral
Definitivamente tenemos el peor presidente de toda la historia de Colombia... Bukele dando ejemplo 👏👏,We definitely have the worst president in the entire history of Colombia... Bukele setting an example 👏👏,-0.34,negative
"Un Gobierno así es que necesitamos algún día en Colombia, que tenga mano dura con criminales, que les enseñen a trabajar en las cárceles y les den una lección de vida para que salga a re incorporarsen a la sociedad con otra mentalidad. Pero aquí antes quieren sacarlos a seguir delinquiendo en las calles que porque las cárceles estas colápsalas, todo por no invertir en infraestructura.","A government like this is what we need one day in Colombia, to have a tough hand with criminals, to teach them how to work in prisons and give them a life lesson so that they can go out and rejoin society with a different mentality. But here they want to get them out to continue committing crimes in the streets rather than because the prisons are collapsing, all for not investing in infrastructure.",-0.1655,negative
Ese man no copea de derechos humanos 🤯,That man doesn't copy human rights 🤯,0.0,neutral
Señor venga a ser presidente en Colombia,Lord come be president in Colombia,0.0,neutral
Necesitamos a este señor en Colombia 😢,We need this man in Colombia 😢,0.0,neutral
Ojalá que petro vea esto,I hope petro sees this,0.4404,positive
"El sueño salvadoreño, ese país promete","The Salvadoran dream, that country promises",0.5574,positive
Lo que deberían estar construyendo acá en vez de dejarlos libres @davidvasquezm,What they should be building here instead of leaving them free @davidvasquezm,0.5106,positive
Aquí en Colombia prefieren liberarlos porque están muy llenas las cárceles!!,Here in Colombia they prefer to release them because the jails are very full!!,0.0,neutral
Este man si me representa 👏🙌,This man does represent me 👏🙌,0.0,neutral
MEJOR PRESENTE DEL MUNDO MUNDIAL. - CERO IMPUNIDAD @nayibbukele 👏🔥,BEST PRESENT IN THE WORLD WORLD. - ZERO IMPUNITY @nayibbukele 👏🔥,0.7125,positive
Y acá en Colombia les dan curules y un millón mensuales 🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣,And here in Colombia they give them seats and a million a month,0.0,neutral
Y acá son gestores de paz,And here they are peace managers,0.5423,positive
Aquí hacemos lo contrario los sacamos de la cárcel y son llamados “gestores de paz” ✌️,"Here we do the opposite, we get them out of jail and they are called ""peace managers"" ✌️",0.5423,positive
De donde van a salir 40mil gestores de paz? 🤔,"Where are 40,000 peace managers going to come from? 🤔",0.5423,positive
"Ojalá inaugure muchas universidades también…pues, si quiere..es opcional 🤷🏻‍♂️","I hope I open many universities too...well, if you want...it's optional 🤷🏻‍♂️",0.4404,positive
Lo mismo deberían hacer aquí en Colombia 🇨🇴,They should do the same here in Colombia 🇨🇴,0.0,neutral
