es,en,scores,qualify,Espanish_length,English_length,zero,uno,dos
"La policía alemana desalojó este martes por la fuerza a la activista sueca Greta Thunberg cuando participaba en un acto de protesta organizado por activistas medioambientales contra la ampliación de una mina de lignito en Lützerath.
.
Pues, Thunberg se unió a otros activistas y manifestantes que participaron en protestas durante el fin de semana contra la demolición de la aldea alemana, la cual dará paso a una expansión de la mina de carbón lignito Garzweiler, propiedad del gigante energético europeo RWE.
.
La policía justificó ese desalojo en que la permanencia en ese lugar era peligrosa, por lo que se procedió a llevarse una a una, en volandas, a las personas que participaban en la acción de protesta. Según explica la AFP, tanto a Thunberg como el resto de activistas fueron transportados a unos 50 metros fuera del lugar y se procedió a controlar sus documentos de identidad.
.
Según las autoridades, esta sería la segunda vez que la activista sueca es trasladada esta semana por la Policía en Luetzerath. Asimismo, un portavoz de la Policía de Auisgrán afirmó que Thunberg era parte de un grupo de manifestantes que “irrumpieron” hacia el borde de la mina a cielo abierto, la cual -según los oficiales- es “empinada y extremadamente peligrosa.
Fuentes consultadas CNN Y EFE
Imagen y video redes sociales*
Enero/17/2023","Swedish activist Greta Thunberg was forcibly evicted by German police on Tuesday when she was participating in a protest organized by environmental activists against the expansion of a lignite mine in Lützerath.
.
Well, Thunberg joined other activists and protesters who took part in protests over the weekend against the demolition of the German village, which will make way for an expansion of the Garzweiler lignite coal mine, owned by European energy giant RWE.
.
The police justified this eviction in that it was dangerous to remain in that place, for which reason they proceeded to take away, one by one, in air, the people who participated in the protest action. According to the AFP, both Thunberg and the rest of the activists were transported about 50 meters away from the place and their identity documents were checked.
.
According to the authorities, this would be the second time that the Swedish activist has been transferred this week by the Police in Luetzerath. Likewise, a spokesman for the Auisgrán Police stated that Thunberg was part of a group of protesters who “broke” towards the edge of the open-cast mine, which – according to the officers – is “steep and extremely dangerous”.
Sources consulted CNN and EFE
Image and video social networks*
January/17/2023",-0.8126,negative,1332,1283,0.05093593461639867,1.0000000000000002,1.0
Parecido a la captura de Otoniel.... puro show y solo risas y risas,Similar to the capture of Otoniel... pure show and just laughter and laughter,0.7506,positive,67,77,0.8751911415765884,0.049586776859504134,0.059282371294851796
Y esa sonrisa?,And that smile?,0.3612,positive,14,15,0.6698655417875032,0.009767092411720512,0.0109204368174727
Ps se ve muy tranquila para estar siendo arrestada. Me suena a teatro,Ps looks very calm to be under arrest. sounds like theater,0.4005,positive,69,58,0.6905879251252306,0.05108940646130729,0.044461778471138844
Por qué? Por decirle la verdad al mundo? 😢,Why? For telling the world the truth? 😢,0.3939,positive,42,39,0.6871078302135512,0.03080390683696469,0.029641185647425898
"La cara 😂 me encanta. Cumple su objetivo de incomodar, hacer escándalo y que las personas conozcan de la situación.","The face 😂 I love it. It fulfills its objective of bothering, making a scandal and making people aware of the situation.",0.1779,positive,115,120,0.5732138149222251,0.08564988730277986,0.09282371294851795
"Su cara de satisfacción es todo, ella sabe que incomoda y tiene ovarios suficientes para incomodar a los que destruyen el mundo.","Her satisfied face is everything, she knows that she is uncomfortable and she has enough ovaries to bother those who destroy the world.",-0.6908,negative,128,135,0.11515950435011868,0.09541697971450037,0.1045241809672387
La amo tanto JAHDJW,I love her so much JAHDJW,0.6369,positive,19,25,0.8152385974162931,0.0135236664162284,0.0187207488299532
"Fue actuado, no es real. Ya se confirmo.","It was staged, it's not real. It's already confirmed.",0.0,neutral,40,53,0.4794094384392301,0.029301277235161537,0.0405616224648986
Se merecen el Oscar 👏🏼🥇que buen teatro 🎭,They deserve the Oscar 👏🏼🥇 what a good theater 🎭,0.4404,positive,40,48,0.7116266807276561,0.029301277235161537,0.03666146645865835
Sin oficio 🤡,Without trade 🤡,0.0,neutral,12,15,0.4794094384392301,0.008264462809917356,0.0109204368174727
Esa mujer es capaz de hacer lo que 1000 hombres no son capaces de hacer! Mis respetos por incomodar a la oligarquía europea,That woman is capable of doing what 1000 men are not capable of! My respects for making the European oligarchy uncomfortable,0.636,positive,123,124,0.8147640390192459,0.09166040570999248,0.09594383775351015
Puro show y los alimentos mas caros que nunca.,Pure show and food more expensive than ever.,0.0,neutral,46,44,0.4794094384392301,0.033809166040571,0.03354134165366615
La que tiene quebrada europa 😂,The one with broken Europe 😂,-0.4767,negative,30,28,0.22805167413656735,0.021788129226145758,0.02106084243369735
Manda a decir Petro que la bajen de inmediato ! Que acá le espera un puesto en Ecopetrol 😂,Send word to Petro to take it down immediately! That a position at Ecopetrol awaits you here 😂,0.1511,positive,90,94,0.5590825204323754,0.06686701728024042,0.07254290171606866
"Ya se dieron cuenta que las energías limpias no son una garantía…la Guerra entre Rusia y Ucrania les abrió los ojos y se dieron cuenta que no pueden depender del gas de Rusia… Europa reacciona y reactiva la minería, evidencia suficiente para defender la minería responsable… no hay que “decrecer” estoy filosofando… pero es una realidad… la humanidad seguirá siendo carbón dependiente y no está mal, reforcemos los controles que si se puede!!!!!!!!💪🏽💪🏽","They already realized that clean energy is not a guarantee... the war between Russia and Ukraine opened their eyes and they realized that they cannot depend on gas from Russia... Europe reacts and reactivates mining, sufficient evidence to defend responsible mining ... we must not ""decrease"" I am philosophizing... but it is a reality... humanity will continue to be dependent on coal and that is not bad, let's strengthen the controls that we can!!!!!!!!💪🏽💪🏽",0.8236,positive,452,460,0.913683100448194,0.3388429752066116,0.35803432137285496
"Se supone que todo es un montaje, hay vídeos donde todos están muertos de risa, y es una puesta en escena","Everything is supposed to be a montage, there are videos where everyone is dying of laughter, and it's a staging",0.4939,positive,105,112,0.7398365409965726,0.07813673929376408,0.08658346333853355
"Ojalá en Colombia uno estuviera tan tranquilo con el ESMAD, acá nos desaparecen en hornos crematorios 🫠","I wish in Colombia one was so calm with the ESMAD, here they disappear in crematorium ovens 🫠",0.5847,positive,103,93,0.787714210387556,0.07663410969196092,0.0717628705148206
"Ecologistas ? LOL 🫠🤡🤡
Ahhhh pero hicieron cerrar todas las centrales nucleares (unica energía realmente LIMPIA) en Alemania dejando al país en la M***
No quieren nuclear, no quieren carbón entonces de qué van a vivir 83 millones de alemanes ?🤡","Ecologists? LOL 🫠🤡🤡
Ahhhh but they closed all the nuclear power plants (the only really CLEAN energy) in Germany leaving the country in the M ***
They don't want nuclear, they don't want coal so what are 83 million Germans going to live on?🤡",0.7935,positive,243,241,0.8978117585025045,0.18181818181818182,0.187207488299532
Va cagada de la risa,She is laughing,0.4939,positive,20,15,0.7398365409965726,0.01427498121712998,0.0109204368174727
